NCT_ID,Title,Sponsor,Has_Protocol_Doc,Planned_Enrollment,Allocation,URL
NCT02033447,Magnetic Nanoparticle Thermoablation-Retention and Maintenance in the Prostate:A Phase 0 Study in Men,University College London Hospitals,False,12,NA,https://clinicaltrials.gov/study/NCT02033447
NCT04065555,Intratumoral Microdosing of TAK-981 in Head and Neck Cancer,Presage Biosciences,False,12,NA,https://clinicaltrials.gov/study/NCT04065555
NCT01217021,Safety and Efficacy of Positron Emission Tomography (PET) Imaging With MNI-558,Institute for Neurodegenerative Disorders,False,10,NA,https://clinicaltrials.gov/study/NCT01217021
NCT05577416,A Study of AB-218 in Patients With IDH1 Mutated Low Grade Glioma,Melbourne Health,False,14,NA,https://clinicaltrials.gov/study/NCT05577416
NCT06204237,"Safety, Tolerability, and Biodistribution of [89Zr]Zr-DFO-APAC in Subjects With PAOD/CLI and Healthy Volunteers (Acronyms: 89Zr = Zirconium-89, DFO = Desferrioxamine, APAC = AntiPlatelet AntiCoagulant, PET/CT = Positron Emission Tomography/Computed Tomography)",Aplagon Oy,False,10,NA,https://clinicaltrials.gov/study/NCT06204237
NCT04000165,A Dose-Finding Study of AG-348 in Sickle Cell Disease,National Institutes of Health Clinical Center (CC),True,17,NA,https://clinicaltrials.gov/study/NCT04000165
NCT05250895,BOLD MRI and FMISO PET for the Assessment of Hypoxic Tumor Microenvironment in Patients with Oligometastatic Liver Cancer Undergoing Yttirum-90 Selective Internal Radiation Therapy,Emory University,False,9,NA,https://clinicaltrials.gov/study/NCT05250895
NCT04777708,BO-112 and Pembrolizumab for the Treatment of PD-1/PD-L1 Refractory Liver Cancer,Jonsson Comprehensive Cancer Center,False,1,NA,https://clinicaltrials.gov/study/NCT04777708
NCT06642025,EX02 CAR-T Cells for Relapsed and Refractory Acute Myeloid Leukemia,Zhimin Zhai,False,9,NA,https://clinicaltrials.gov/study/NCT06642025
NCT06318871,Memory-like Natural Killer (NK) Cell Therapy in Patients With Renal Cell Carcinoma or Urothelial Carcinoma,Dana-Farber Cancer Institute,False,5,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT06318871
NCT00956163,Whole Body Fluorine F 18 Sodium Fluoride PET/CT Scan and Whole Body MRI in Finding Bone Metastases in Patients With Prostate Cancer,National Cancer Institute (NCI),False,50,NA,https://clinicaltrials.gov/study/NCT00956163
NCT03276832,Imiquimod and Pembrolizumab in Treating Patients With Stage IIIB-IV Melanoma,Mayo Clinic,True,7,NA,https://clinicaltrials.gov/study/NCT03276832
NCT04825275,Neuro-pharmacological Properties of Repurposed Posaconazole in Glioblastoma: A Phase 0 Clinical Trial,Milton S. Hershey Medical Center,True,7,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT04825275
NCT04890236,"Duvelisib Exposure to Enhance Immune Profiles of T Cells in Patients With Recurrent or Refractory Diffuse Large B-Cell Lymphoma, DEEP T CELLS Study",Emory University,True,4,NA,https://clinicaltrials.gov/study/NCT04890236
NCT06062602,PBI-MST-01(NCT04541108) Substudy TAK-02: Intratumoral Microdosing of TAK-676 in HNSCC,Presage Biosciences,False,15,NA,https://clinicaltrials.gov/study/NCT06062602
NCT01245660,A Phase 0 of Neoadjuvant Lapatinib in Infiltrative Bladder Carcinoma Before Cystectomy,"University Hospital, Bordeaux",False,3,NA,https://clinicaltrials.gov/study/NCT01245660
NCT06238908,Safety and Efficacy Study of NGGT003 in Hemophilia A Patients,"Institute of Hematology & Blood Diseases Hospital, China",False,6,NA,https://clinicaltrials.gov/study/NCT06238908
NCT02802748,Phase 0 Study of Metronomic Oral Vinorelbine and Letrozole in HR+/HER2-negative Early Breast Cancer Patients (VENTANA),SOLTI Breast Cancer Research Group,False,60,RANDOMIZED,https://clinicaltrials.gov/study/NCT02802748
NCT04541108,Phase 0 Master Protocol for CIVO Intratumoral Microdosing of Anti-Cancer Therapies,Presage Biosciences,False,15,NA,https://clinicaltrials.gov/study/NCT04541108
NCT06125847,NGGT006 Gene Therapy for Homozygous Familial Hypercholesterolemia,First Affiliated Hospital Xi'an Jiaotong University,False,12,NA,https://clinicaltrials.gov/study/NCT06125847
NCT05977738,Repurposed Drugs in Research for Cancer Clinical Trials- Pitavastatin,C.Dirven,False,12,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT05977738
NCT04930991,High Dose Omeprazole in Patients With Pancreatic Cancer,University of Oklahoma,False,25,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT04930991
NCT01268020,Evaluation of [18F] FMH3 and PET as a Marker of Histamine-3 Receptor Activity in Subjects With AD Compared w/ HC,Institute for Neurodegenerative Disorders,False,5,NA,https://clinicaltrials.gov/study/NCT01268020
NCT04731818,An Exploratory Study of ZB-06 as a Vaginal Contraceptive Film,KBio Inc,True,20,NA,https://clinicaltrials.gov/study/NCT04731818
NCT01827618,Neoadjuvant Rapamycin in Patients Undergoing Radical Cystectomy,The University of Texas Health Science Center at San Antonio,False,29,RANDOMIZED,https://clinicaltrials.gov/study/NCT01827618
NCT03182959,Broccoli Sprout Extract in Preventing Recurrence in Patients With Tobacco-Related Head and Neck Squamous Cell Cancer,University of Arizona,False,6,RANDOMIZED,https://clinicaltrials.gov/study/NCT03182959
NCT03953196,A Study Exploring the Use of Vaccine and Antigen Challenges for Immune Monitoring in Healthy Participants,"Janssen Research & Development, LLC",False,48,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT03953196
NCT01723488,"A Phase 0, Open Label, Multi-Center, Exploratory and Safety Study of [F-18]T808",Avid Radiopharmaceuticals,False,12,NON_RANDOMIZED,https://clinicaltrials.gov/study/NCT01723488
